"","GREScore","TOEFLScore","UniversityRating","SOP","LOR","CGPA","Research","State","Gender","AdmitProb","predictTrain"
"68",316,107,2,4,4,9,1,"UChicago","Male","0","0"
"69",318,109,3,4,4,9,1,"BostonU","Male","0","0"
"70",328,115,4,5,4,9,1,"UNC","Male","1","1"
"71",332,118,5,5,5,10,1,"Utexas","Male","1","1"
"72",336,112,5,5,5,10,1,"Utexas","Male","1","1"
"74",314,108,4,5,4,9,1,"UNC","Male","1","1"
"76",329,114,2,2,4,9,1,"UChicago","Male","1","1"
"77",327,112,3,3,3,9,1,"BostonU","Male","1","1"
"78",301,99,2,3,2,8,0,"UChicago","Female","0","0"
"79",296,95,2,3,2,8,1,"UChicago","Female","0","0"
"80",294,93,1,2,2,7,0,"Harvard","Female","0","0"
"82",340,120,4,5,5,10,1,"UNC","Male","1","1"
"83",320,110,5,5,5,9,1,"Utexas","Male","1","1"
"84",322,115,5,4,5,9,1,"Utexas","Male","1","1"
"85",340,115,5,5,5,9,1,"Utexas","Male","1","1"
"86",319,103,4,5,4,9,0,"UNC","Male","1","1"
"87",315,106,3,5,4,8,0,"BostonU","Male","1","1"
"88",317,107,2,4,3,8,0,"UChicago","Male","0","0"
"89",314,108,3,5,4,8,0,"BostonU","Male","0","0"
"93",298,98,2,4,3,8,0,"UChicago","Female","0","0"
"94",301,97,2,3,3,8,1,"UChicago","Female","0","0"
"95",303,99,3,2,3,8,0,"BostonU","Female","0","0"
"96",304,100,4,2,3,8,0,"UNC","Female","0","0"
"97",306,100,2,3,3,8,0,"UChicago","Female","0","0"
"99",332,119,4,5,5,9,1,"UNC","Male","1","1"
"100",323,113,3,4,4,9,1,"BostonU","Male","1","1"
"105",326,112,3,4,3,9,1,"BostonU","Male","1","1"
"107",329,111,4,5,5,9,1,"UNC","Male","1","1"
"111",305,108,5,3,3,8,0,"Utexas","Female","0","0"
"113",301,107,3,4,4,8,1,"BostonU","Female","0","0"
"114",320,110,2,4,4,9,0,"UChicago","Male","1","1"
"115",311,105,3,4,3,8,1,"BostonU","Female","0","0"
"116",310,106,4,5,5,9,1,"UNC","Female","0","0"
"119",296,99,2,3,4,7,0,"UChicago","Female","0","0"
"120",327,104,5,3,4,9,1,"Utexas","Male","1","1"
"121",335,117,5,5,5,10,1,"Utexas","Male","1","1"
"122",334,119,5,5,5,9,1,"Utexas","Male","1","1"
"123",310,106,4,2,3,8,0,"UNC","Female","0","0"
"124",308,108,3,4,4,8,0,"BostonU","Female","0","0"
"126",300,100,3,2,3,9,1,"BostonU","Female","0","0"
"128",319,112,3,3,2,9,1,"BostonU","Male","1","1"
"130",333,118,5,5,5,9,1,"Utexas","Male","1","1"
"132",303,105,5,5,5,9,0,"Utexas","Female","1","1"
"134",323,112,5,4,5,9,0,"Utexas","Male","1","1"
"135",333,113,5,4,4,9,1,"Utexas","Male","1","1"
"137",312,103,3,5,4,8,0,"BostonU","Female","1","1"
"138",316,100,2,2,3,8,1,"UChicago","Male","1","1"
"141",329,110,2,4,3,9,1,"UChicago","Male","1","1"
"142",332,118,2,5,4,9,1,"UChicago","Male","1","1"
"145",325,112,2,3,4,9,1,"UChicago","Male","1","1"
"147",315,105,3,2,3,8,0,"BostonU","Male","1","0"
"148",326,114,3,3,3,9,1,"BostonU","Male","1","1"
"151",334,114,4,4,4,9,1,"UNC","Male","1","1"
"152",332,116,5,5,5,9,1,"Utexas","Male","1","1"
"153",321,112,5,5,5,9,1,"Utexas","Male","1","1"
"154",324,105,3,3,4,9,0,"BostonU","Male","1","1"
"155",326,108,3,3,4,9,0,"BostonU","Male","1","1"
"156",312,109,3,3,3,9,0,"BostonU","Female","1","1"
"157",315,105,3,2,3,8,0,"BostonU","Male","0","0"
"159",306,106,2,2,3,8,0,"UChicago","Female","0","0"
"160",297,100,1,2,2,8,0,"Harvard","Female","0","0"
"161",315,103,1,2,2,8,0,"Harvard","Male","0","0"
"162",298,99,1,2,3,7,0,"Harvard","Female","0","0"
"163",318,109,3,3,3,9,0,"BostonU","Male","0","0"
"164",317,105,3,4,3,9,0,"BostonU","Male","0","0"
"166",322,110,5,5,4,9,0,"Utexas","Male","1","1"
"168",313,102,3,2,3,8,0,"BostonU","Female","0","0"
"169",293,97,2,2,4,8,1,"UChicago","Female","0","0"
"170",311,99,2,3,3,8,0,"UChicago","Female","0","0"
"171",312,101,2,3,4,8,1,"UChicago","Female","0","0"
"172",334,117,5,4,5,9,1,"Utexas","Male","1","1"
"173",322,110,4,4,5,9,1,"UNC","Male","1","1"
"174",323,113,4,4,5,9,1,"UNC","Male","1","1"
"175",321,111,4,4,4,9,1,"UNC","Male","1","1"
"176",320,111,4,5,4,9,1,"UNC","Male","1","1"
"177",329,119,4,5,5,9,1,"UNC","Male","1","1"
"178",319,110,3,4,4,9,0,"BostonU","Male","1","1"
"179",309,108,3,3,3,8,0,"BostonU","Female","1","1"
"181",300,104,3,4,3,8,0,"BostonU","Female","1","1"
"182",305,107,2,3,3,8,0,"UChicago","Female","1","1"
"184",314,110,3,4,4,9,0,"BostonU","Male","1","1"
"185",316,106,2,3,4,8,0,"UChicago","Male","1","1"
"186",327,113,4,5,5,9,1,"UNC","Male","1","1"
"189",331,115,5,5,4,9,1,"Utexas","Male","1","1"
"190",324,112,5,5,5,9,1,"Utexas","Male","1","1"
"191",324,111,5,5,4,9,1,"Utexas","Male","1","1"
"192",323,110,5,4,5,9,1,"Utexas","Male","1","1"
"193",322,114,5,5,4,9,1,"Utexas","Male","1","1"
"194",336,118,5,5,5,10,1,"Utexas","Male","1","1"
"195",316,109,3,4,3,9,0,"BostonU","Male","1","1"
"196",307,107,2,3,4,9,1,"UChicago","Female","1","1"
"197",306,105,2,3,3,8,0,"UChicago","Female","1","1"
"198",310,106,2,4,3,8,0,"UChicago","Female","1","1"
"199",311,104,3,5,5,8,0,"BostonU","Female","0","0"
"201",317,103,3,3,3,9,1,"BostonU","Male","1","1"
"202",315,110,2,4,3,8,1,"UChicago","Male","1","1"
"203",340,120,5,5,5,10,1,"Utexas","Male","1","1"
"204",334,120,5,4,5,10,1,"Utexas","Male","1","1"
"205",298,105,3,4,4,9,0,"BostonU","Female","0","0"
"207",315,99,2,4,3,8,0,"UChicago","Male","0","0"
"208",310,102,3,4,4,8,1,"BostonU","Female","0","0"
"209",305,106,2,3,3,8,0,"UChicago","Female","0","0"
"210",301,104,3,4,4,8,1,"BostonU","Female","0","0"
"211",325,108,4,5,4,9,1,"UNC","Male","1","1"
"213",338,120,4,5,5,10,1,"UNC","Male","1","1"
"214",333,119,5,5,5,10,1,"Utexas","Male","1","1"
"216",330,116,5,5,5,9,1,"Utexas","Male","1","1"
"217",322,112,4,5,5,9,1,"UNC","Male","1","1"
"221",313,103,3,4,4,9,0,"BostonU","Female","1","1"
"222",316,110,3,4,4,9,0,"BostonU","Male","1","1"
"226",296,99,2,3,3,8,0,"UChicago","Female","0","0"
"227",306,110,2,4,4,8,0,"UChicago","Female","0","0"
"229",318,112,3,4,4,9,0,"BostonU","Male","1","1"
"230",324,111,4,3,3,9,1,"UNC","Male","1","1"
"231",313,104,3,4,5,9,0,"BostonU","Female","1","1"
"232",319,106,3,4,3,8,1,"BostonU","Male","1","1"
"233",312,107,2,3,4,8,0,"UChicago","Female","0","0"
"235",330,113,5,5,4,9,1,"Utexas","Male","1","1"
"239",310,104,3,2,4,8,0,"BostonU","Female","0","0"
"243",324,115,3,4,3,9,1,"BostonU","Male","0","0"
"245",314,107,2,3,4,9,0,"UChicago","Male","0","0"
"246",328,110,4,4,3,9,1,"UNC","Male","1","1"
"251",320,104,3,3,3,9,1,"BostonU","Male","1","1"
"255",321,114,4,4,5,9,0,"UNC","Male","1","1"
"256",307,110,4,4,5,8,0,"UNC","Female","1","1"
"257",309,99,3,4,4,9,0,"BostonU","Female","1","1"
"258",324,100,3,4,5,9,1,"BostonU","Male","1","1"
"259",326,102,4,5,5,9,1,"UNC","Male","1","1"
"261",327,108,5,5,4,9,1,"Utexas","Male","1","1"
"262",312,104,3,4,4,8,0,"BostonU","Female","1","1"
"263",308,103,2,3,4,8,1,"UChicago","Female","0","0"
"264",324,111,3,3,2,9,1,"BostonU","Male","0","1"
"265",325,110,2,3,3,9,1,"UChicago","Male","1","1"
"267",312,105,2,2,3,8,0,"UChicago","Female","1","1"
"271",306,105,2,3,3,8,1,"UChicago","Female","1","1"
"273",294,95,1,2,2,8,0,"Harvard","Female","0","0"
"274",312,99,1,1,2,8,1,"Harvard","Female","0","0"
"277",329,113,5,5,5,9,1,"Utexas","Male","1","1"
"278",320,101,2,3,3,9,0,"UChicago","Male","0","0"
"280",304,102,2,3,4,9,0,"UChicago","Female","0","0"
"281",311,102,3,5,4,9,1,"BostonU","Female","0","0"
"282",317,110,3,4,5,9,1,"BostonU","Male","1","1"
"283",312,106,3,4,4,9,1,"BostonU","Female","1","1"
"284",321,111,3,3,3,9,1,"BostonU","Male","1","1"
"285",340,112,4,5,5,10,1,"UNC","Male","1","1"
"286",331,116,5,4,4,9,1,"Utexas","Male","1","1"
"287",336,118,5,5,4,9,1,"Utexas","Male","1","1"
"288",324,114,5,5,5,9,1,"Utexas","Male","1","1"
"289",314,104,4,5,5,9,0,"UNC","Male","1","1"
"290",313,109,3,4,4,9,0,"BostonU","Female","1","1"
"292",300,102,2,2,2,8,0,"UChicago","Female","0","0"
"293",302,99,2,1,2,8,0,"UChicago","Female","0","0"
"295",316,101,2,3,2,8,1,"UChicago","Male","0","0"
"296",317,100,2,3,3,9,0,"UChicago","Male","0","0"
"297",310,107,3,4,4,9,0,"BostonU","Female","1","1"
"298",320,120,3,4,5,9,0,"BostonU","Male","1","1"
"300",305,112,3,3,4,9,0,"BostonU","Female","1","1"
"301",309,106,2,3,3,8,0,"UChicago","Female","0","0"
"302",319,108,2,3,3,9,0,"UChicago","Male","0","0"
"305",313,106,2,3,2,8,0,"UChicago","Female","0","0"
"307",323,110,3,4,4,9,1,"BostonU","Male","1","1"
"308",325,112,4,4,4,9,1,"UNC","Male","1","1"
"310",308,110,4,4,3,9,0,"UNC","Female","0","0"
"311",320,104,3,3,4,9,1,"BostonU","Male","1","1"
"313",311,107,4,5,5,9,1,"UNC","Female","1","1"
"314",301,100,3,4,3,8,0,"BostonU","Female","0","0"
"317",298,101,2,2,2,8,0,"UChicago","Female","0","0"
"318",300,99,1,1,3,8,0,"Harvard","Female","0","0"
"319",324,111,3,3,2,9,1,"BostonU","Male","1","1"
"320",327,113,4,4,3,9,1,"UNC","Male","1","1"
"321",317,106,3,4,4,9,1,"BostonU","Male","1","1"
"322",323,104,3,4,4,8,1,"BostonU","Male","1","1"
"324",305,102,2,2,3,8,0,"UChicago","Female","0","0"
"326",326,116,3,4,4,9,1,"BostonU","Male","1","1"
"327",299,100,3,2,2,8,0,"BostonU","Female","0","0"
"328",295,101,2,3,2,8,0,"UChicago","Female","0","0"
"330",297,96,2,3,2,8,0,"UChicago","Female","0","0"
"331",327,113,3,4,3,9,1,"BostonU","Male","1","1"
"332",311,105,2,3,2,8,1,"UChicago","Female","1","1"
"333",308,106,3,4,3,8,1,"BostonU","Female","1","0"
"334",319,108,3,3,4,9,1,"BostonU","Male","1","1"
"335",312,107,4,5,4,9,1,"UNC","Female","1","1"
"336",325,111,4,4,5,9,1,"UNC","Male","1","1"
"337",319,110,3,3,3,9,0,"BostonU","Male","1","1"
"339",323,108,5,4,4,9,1,"Utexas","Male","1","1"
"340",324,107,5,4,4,9,1,"Utexas","Male","1","1"
"342",326,110,3,4,4,9,1,"BostonU","Male","1","1"
"343",308,106,3,3,3,8,0,"BostonU","Female","0","0"
"344",305,103,2,3,4,8,0,"UChicago","Female","0","0"
"345",295,96,2,2,2,7,0,"UChicago","Female","0","0"
"346",316,98,1,2,2,7,0,"Harvard","Male","0","0"
"347",304,97,2,2,2,8,0,"UChicago","Female","0","0"
"348",299,94,1,1,1,7,0,"Harvard","Female","0","0"
"351",318,107,3,3,4,8,1,"BostonU","Male","1","1"
"352",325,110,4,4,4,9,1,"UNC","Male","1","1"
"353",303,100,2,3,4,8,1,"UChicago","Female","0","0"
"355",297,98,2,3,3,8,0,"UChicago","Female","0","0"
"356",317,106,2,2,4,8,0,"UChicago","Male","1","1"
"358",301,104,2,4,4,8,1,"UChicago","Female","0","0"
"359",314,105,2,3,2,8,0,"UChicago","Male","0","0"
"360",321,107,2,2,2,8,0,"UChicago","Male","1","1"
"362",334,116,4,4,4,10,1,"UNC","Male","1","1"
"363",338,115,5,5,5,9,1,"Utexas","Male","1","1"
"364",306,103,2,3,3,8,0,"UChicago","Female","0","0"
"365",313,102,3,4,4,9,1,"BostonU","Female","1","1"
"367",320,104,3,4,5,8,1,"BostonU","Male","1","1"
"368",311,98,1,1,3,7,0,"Harvard","Female","0","0"
"369",298,92,1,2,2,8,0,"Harvard","Female","0","0"
"370",301,98,1,2,3,8,1,"Harvard","Female","0","0"
"371",310,103,2,3,3,8,0,"UChicago","Female","1","1"
"372",324,110,3,4,3,9,1,"BostonU","Male","1","1"
"373",336,119,4,5,4,10,1,"UNC","Male","1","1"
"375",315,105,2,2,3,8,0,"UChicago","Male","0","0"
"376",304,101,2,2,3,8,0,"UChicago","Female","0","0"
"377",297,96,2,3,2,7,0,"UChicago","Female","0","0"
"378",290,100,1,2,2,8,0,"Harvard","Female","0","0"
"379",303,98,1,2,3,8,0,"Harvard","Female","0","0"
"381",322,104,3,4,4,9,1,"BostonU","Male","1","1"
"382",319,105,3,3,4,9,1,"BostonU","Male","1","1"
"384",300,100,3,3,4,8,0,"BostonU","Female","0","0"
"385",340,113,4,5,5,10,1,"UNC","Male","1","1"
"386",335,117,5,5,5,10,1,"Utexas","Male","1","1"
"387",302,101,2,3,4,8,0,"UChicago","Female","0","0"
"388",307,105,2,2,4,8,0,"UChicago","Female","0","0"
"389",296,97,2,2,2,8,0,"UChicago","Female","0","0"
"390",320,108,3,4,4,8,1,"BostonU","Male","1","1"
"391",314,102,2,2,3,8,0,"UChicago","Male","0","0"
"392",318,106,3,2,3,9,0,"BostonU","Male","1","1"
"393",326,112,4,4,4,9,1,"UNC","Male","1","1"
"396",324,110,3,4,4,9,1,"BostonU","Male","1","1"
"397",325,107,3,3,4,9,1,"BostonU","Male","1","1"
"398",330,116,4,5,5,9,1,"UNC","Male","1","1"
"400",333,117,4,5,4,10,1,"UNC","Male","1","1"
